#oc-R11D9D7SHXIJB9	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R11O5J5ZVQE25C	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R12MGTQS5KZZRV	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R14ZSRYW2YB41B	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R155JB2SA58E17	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R162D7S0A880MV	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R163CP16SRRI50	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R19EJ3VEA88T6O	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1CF9LIM90SAB6	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1GKUU1PTIDIZ7	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1GSBW9QIVY489	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1K4OCJ8HEIEDY	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1QHGBT11WAS7G	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1U8FAII0QYOT3	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1UO6NAAGVBW7Z	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1VRD09DW4H2HI	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R26DKYCO954ZWP	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R28I1AL1ZAZLXL	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2B86BJE5FNKXX	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2HWL8UHAIMFRS	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2K9AJ2LWO7ZUJ	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2M17G7NB9RAIV	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2MG5C3DMRU8Q0	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2R45EEG606NCJ	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2W0C6DARSLJ0S	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2W66Y63G88976	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2XZVYL146WRFL	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2YPVWM76O2TFX	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R31AI08Q9HLVF1	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R34PQ2ORKQ6WCD	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3DERHJ8UWPZZ	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3EDGA2893DM4Y	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3F0UDHOQC1RNU	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3OS88C8I7GSS5	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3RMG4F3JAN4CE	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3RQNMHS7481DE	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3SRKE3YQ2BNES	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3TXZAQ0JD85LR	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3TZTZQ7UHNM8Y	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RKU1BA6XFA3Q4	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RMBODWNVK1H1D	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RODMQLZAXFCUG	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RS2VFRNYYRVUG	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RSZMLJGJRON5W	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RUCLMJ3IUSWPC	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RXCJ97CMQTXVA	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RXFX0AFFBDSJN	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
AM0PNCA2EY3E9	  {'B0075JTH7Q', 'B005PANYEY', 'B005PIJQC0', 'B005P6TCGW'}
AM0TZ8FT5B7I9	  {'B0013OVWPE', 'B003ENHSC8', 'B0002JG0HG'}
AM12T222C788N	  {'B000CQE3HS', 'B000CQE3IC', 'B000CQID1A', 'B000RI1W8E', 'B000CQID1K'}
AM15R179IBHK4	  {'B001STX13U', 'B001YJ5LK0', 'B003R0LKWM'}
AM16JDIEIL5F3	  {'B00008CQVA', 'B000WFN0VO', 'B000WFORH0', 'B000WFEN74', 'B000WFKI82', 'B000WFUL3E', 'B000WFKWDI', 'B000WFRQQ4', 'B000084EZ4', 'B000WFU8O6', 'B000WFPJIG'}
AM188RARFCUSA	  {'B000YSS7EO', 'B000YSTGGW', 'B003KYIXIO', 'B000YSQ9GC'}
AM18CU72YEWH5	  {'B007RTR8UC', 'B00311T538', 'B005NVU64Q', 'B005BPVB84', 'B007RTR8TS', 'B0061IUKDM', 'B007RTR89S'}
AM1AIMJ3WHFXR	  {'B000H7LVKY', 'B001IZICO2', 'B004YV80OE'}
AM1BTEOMR6969	  {'B000DZH1CM', 'B000H7GS5W', 'B000DZH19U', 'B000H7F78Q'}
AM1H9HW5AAPW1	  {'B0055ZS9A8', 'B000ODH4BG', 'B000FMZO8G', 'B003GHESE8', 'B000EOXQS0', 'B002ESMQN0', 'B000SDKDM4', 'B002GWH92W', 'B003CGOFP0', 'B000FMZO90'}
AM1XCST027MCO	  {'B008FHUKE6', 'B000TQEWM2', 'B007TJGZ4A', 'B006N3I1HM', 'B0029XDZKI', 'B002ZX1U9A'}
AM1XK99CEPN7S	  {'B008RWUKXK', 'B005IW4WFY', 'B008RWUHA6'}
AM1XLX633I01C	  {'B004N5UL2U', 'B002PNIQ10', 'B002PNGY28'}
AM26HOQHJMJBV	  {'B007NIARSM', 'B007NIAR1Y', 'B007NIAR0K'}
AM2BMW0UQGVY0	  {'B005A1LGIY', 'B004X3VRLG', 'B004FEN3GK'}
AM2F7TR14AJY4	  {'B003DNL9YM', 'B003DNL9W4', 'B003DNL9ZQ'}
AM2I5VZKDS0II	  {'B003NQIST8', 'B003NR4IE6', 'B001G7Q0KK', 'B003NQQK3E'}
AM2IR1V5EU55U	  {'B008RWUHA6', 'B002TSA91Q', 'B002TSA91G', 'B008RWUKXK', 'B002IEVJRY', 'B005IW4WFY', 'B0051COPH6'}
AM2JDWS3UK93	  {'B004DGET86', 'B0038YDXQ8', 'B0038YE6AK', 'B0037O1Q4K'}
AM2OFTHCMHC5I	  {'B001NXM3I0', 'B000YSQ9GC', 'B001NXM3GM', 'B000YSTGGW', 'B000YSS7EO', 'B001NXHY8Y'}
AM2REMVO7VI0R	  {'B001E8DHPW', 'B004EAGP74', 'B000GAT6NG'}
AM2WKUD1MX49L	  {'B008FHUKE6', 'B000TQEWM2', 'B007TJGZ4A', 'B006N3I1HM', 'B0029XDZKI', 'B002ZX1U9A'}
AM3AUG3WJ4U07	  {'B000JMAVYO', 'B001EQ4HU8', 'B000K8CJ1A'}
AM3FNVNAKXAF6	  {'B002AY5BHG', 'B002AYIJDO', 'B002AYC7TG', 'B0047E2I5U', 'B002AYAMIE', 'B002AYA6M6'}
AM3GF5HQYYHDA	  {'B002DHTWNO', 'B002DLXXHG', 'B00315WGNK'}
AM3ILOFBWTRDK	  {'B001F6MHNG', 'B001T8I45A', 'B001F6KGLG', 'B005P0LACM'}
AM3T0RTM322F3	  {'B000V1D19A', 'B00014JNI0', 'B003161EV4'}
AM3TB28B5YN5V	  {'B008FHUKE6', 'B000TQEWM2', 'B007TJGZ4A', 'B006N3I1HM', 'B0029XDZKI', 'B002ZX1U9A'}
AM3UFQ9WPGS2A	  {'B000HDOOL6', 'B0009F3SD2', 'B003P9WU6K'}
AM3XNQU9TZBD8	  {'B000CC9V42', 'B0054TWQ2C', 'B0000GHNUE', 'B000JKJJHG', 'B0000DID5Q'}
AM41SUG9JG8KF	  {'B0000SY9UE', 'B001HKFKNY', 'B0011BLE0W', 'B001HKFC28', 'B0000SY9U4'}
AM42FA4N9WGID	  {'B000G6TS74', 'B000ER3FGA', 'B0036VFXG6', 'B0036VLZDQ'}
AM45SEDUILCHI	  {'B0041PEES4', 'B002OMV09W', 'B000VPKYSW'}
AM4AA7X9HQCDA	  {'B000X1SBBQ', 'B005CD2T4U', 'B0000D954D', 'B000H28AGM', 'B004LS4PRG'}
AM4B1IMJMO5PC	  {'B0030VBQ5Y', 'B0030VBPN2', 'B0030VJ70K', 'B0030VJ79Q'}
AM4BBGZL4JY77	  {'B0030VBQOK', 'B0030VJ70K', 'B0030VBRIU', 'B0030VJ79Q', 'B0030VJ97Q', 'B0030VBRCG', 'B0030VJ8YU', 'B0030VBQ5Y', 'B0030VJ9K8', 'B0030VBPN2', 'B0030VJ818', 'B0030VJ8PE', 'B0030VJ8E0'}
AM4Q5N99G71X	  {'B005ZBZLSU', 'B005ZBZLT4', 'B007Y59HVM', 'B007TGDXNO'}
AM4RTAAJ5CV4I	  {'B000LKXFMO', 'B000HZH8NA', 'B000V17MLS', 'B0001E6DCY', 'B000E48IMO', 'B000ODQJSK', 'B0001E6DEC', 'B001BM62T4', 'B001OCKIP0'}
AM4UVNWCW9NJE	  {'B001EQ4ATQ', 'B000F9XBDE', 'B001E5E0SI', 'B000AYDG5C'}
AM4V2XDRH29GB	  {'B003Y3IHKA', 'B003Y3GW9S', 'B003Y3F5T6', 'B003Y390N8'}
AM50E42AFUVNL	  {'B004UBZBMW', 'B004UC7CMS', 'B001R3BQFW'}
AM51C5F3H6KC6	  {'B0015DA1UA', 'B003Z8NEL6', 'B0029K0E3W'}
AM5Q8GOF4RBA	  {'B0062A87HA', 'B000HDI5O8', 'B000P41A46'}
AM5RXXDF6CQKJ	  {'B00014IVPQ', 'B003QDRJXY', 'B001AG6BMO'}
AM5SR2FJ6QA84	  {'B000Q71L50', 'B001RVEJEE', 'B000Q75354', 'B000Q7535Y', 'B003YK8YL0', 'B000Q6XR0S', 'B004IJMVQK', 'B003YK72LS', 'B004IJHY4Y', 'B004IJJQK4', 'B004IJFZ54', 'B000Q71L5U'}
AM630BSJ4D6E2	  {'B006ZZC0FW', 'B0085YB426', 'B0085YB4DU', 'B001D0KG3W'}
AM64DX3BVAOZI	  {'B003GS3VQ8', 'B001GINOQC', 'B003GS5FMQ', 'B001GINOP8'}
AM664EF0JYMT0	  {'B00248EE4O', 'B001AHJ2FQ', 'B001AHL6CI', 'B000YSRK7E', 'B001AHJ2D8', 'B000YSTIL0', 'B001AHFVHO', 'B001HTIVX6'}
AM68UIIY51RCC	  {'B000PDY3P0', 'B000PDY3HI', 'B000PDWBKO', 'B002YJ0118'}
AM69697RXX087	  {'B005CGUTIA', 'B005CGUTGC', 'B005CGUUJS'}
AM6AIM58WJ3TD	  {'B002R8SLUY', 'B002R8UANK', 'B002R8J7YS'}
AM6T3YLV8K3HH	  {'B000I1T368', 'B002838YVE', 'B000I1RGQC', 'B00283A8TA'}
AM6U0HPEQ4JUV	  {'B00020UGMU', 'B0001ZZIEC', 'B00020UGN4'}
AM6WHLFEL9JM2	  {'B007PA32OE', 'B003JA5KLM', 'B00018TV06', 'B007TJGZ5E', 'B001J9QBU4', 'B00018TVW4'}
AM6XL67JBARPU	  {'B0048CHI9M', 'B001P05K7M', 'B001P05K7W'}
AM6ZNP09P201W	  {'B000FFPXKM', 'B001GCTTYY', 'B002GPNT1Y'}
AM752PZ7B7PQQ	  {'B004LM46EO', 'B004WJAT4C', 'B004WJATME'}
AM76TKHVICZC6	  {'B001BS4G6O', 'B000QSON4K', 'B003E728CE', 'B001BSBFUO', 'B008GRONV6'}
AM78WFHEBDBGM	  {'B001M1V55K', 'B001GVIR9S', 'B004T88BYQ', 'B006WJHOX4', 'B002ATOUVY', 'B001E4S6TI', 'B0087FJ23Q', 'B000S94FFE', 'B000NNCMG4', 'B0028S7MC6', 'B001E95KOW', 'B000H7TT4O', 'B000CS9ZYC', 'B003NCA3Z4', 'B001M23WG4', 'B000PGJI0C'}
AM7AFYBKC2SFA	  {'B0047RQ9M0', 'B006N3I29E', 'B003JA5KKS', 'B001EYUE5M', 'B007TJGZ54', 'B007PA30TG'}
AM7D2VEHFTAKA	  {'B00139TT72', 'B001EO77FC', 'B001EO77FW', 'B00139ZPKM', 'B000VK33C6'}
AM7EU19LRU2SG	  {'B001E52YO0', 'B001Q9EFW8', 'B001Q9EFVY'}
AM7KIYVLNXY2D	  {'B001QW2YGY', 'B0009XPD46', 'B0009XLVDS'}
AM7TK7EDGGV3Y	  {'B000HDONP8', 'B001FA19MM', 'B001SS5R8S'}
AM820RV0VN0U	  {'B001181NBA', 'B00014JYNO', 'B000UVBYRM', 'B000FRSSFC', 'B000812K0O', 'B001GL6GBE'}
AM83U5657FLAG	  {'B002GWHCII', 'B001EQ5OYQ', 'B000FDN7AM'}
AM83WJG9BE2EP	  {'B004X3VRLG', 'B001VJ0B0I', 'B007JFMH8M', 'B002LANN56', 'B005A1LJ04'}
AM8HWHNI717U4	  {'B00120XR0M', 'B000Y8X0LE', 'B0011EO7WQ', 'B00120VWSQ', 'B00120VWSG', 'B00120U5DY', 'B005P0NA7U'}
AM8J1UVGVYAL4	  {'B004R8L71W', 'B002P5E1EE', 'B005IW4WFY', 'B0054I4LTO', 'B004FEN3GK', 'B004OQ257C', 'B002TMV3CG', 'B005VOOQHS', 'B006VGH9WO', 'B0090X8IPM', 'B004AW0FI6', 'B003S5Z1FI', 'B003TVFBNS', 'B006J4MAUE', 'B0061IULW2', 'B004OQ257M', 'B003GTR8IO', 'B008RWUHA6', 'B007RTR8AM', 'B0044CPA28', 'B008RWUKXK', 'B007TGO1U8', 'B006J4MAIQ'}
AM8NOGXOKUXPH	  {'B000GBXG2C', 'B001E5E0IS', 'B003WM3N66'}
AM8O3NJ6JN7P0	  {'B001F6MHNG', 'B001T8I45A', 'B001F6KGLG', 'B005P0LACM'}
AM8W6Y3HVXLZT	  {'B001H0FI22', 'B001OCKIBY', 'B001LG945O', 'B001H0FI36', 'B003XDH6M6', 'B001H0FHZA', 'B000MP84MO'}
AM995K8543MCO	  {'B002G8D2AO', 'B002G891WW', 'B002G8DQ3W', 'B000U9YQ56', 'B002Y6ZYEA', 'B000U9YQ4M', 'B00443W2W8'}
AM9ABXCHPZK2O	  {'B0039556K2', 'B008GRIB0A', 'B00395DVQS', 'B00817GPWQ', 'B0078Y6OX8', 'B0078Y6CN0', 'B00395570G'}
AM9BJ1HWLGTDL	  {'B0007A0AQW', 'B000H0ZJIG', 'B0007A0AQM', 'B000BRR8VQ', 'B000H1217M', 'B000H0ZJHW'}
AM9HWE7DE791U	  {'B000PDWBKO', 'B000UBD88A', 'B002YJ0118', 'B000PDY3HI', 'B0013A0QXC', 'B000PDY3P0'}
AM9LRYG6YXV83	  {'B008114GDW', 'B0034KP00S', 'B004MC0CNW', 'B0051TPWUI', 'B000H151ME', 'B00027CE28', 'B0049Z9ANU', 'B000ZT15EQ', 'B000ZSX4GE', 'B0049ZCF9G', 'B001TH4C2A', 'B0049Z5OSK', 'B0034KN29O'}
AM9SS5UZDAD17	  {'B002JKUVG2', 'B003L1XMAA', 'B000O5YDF4'}
AM9SVF7W2617G	  {'B000HDKWU8', 'B0013Z1R1W', 'B001ELL6QG'}
AMA1R91R2VTP6	  {'B00408N8MU', 'B001M0DRYI', 'B001CBCJGE', 'B004CYLWGQ'}
AMA4VS04DUD6B	  {'B0009VO58S', 'B00142BX68', 'B00073JVFU', 'B000FVDWU4', 'B0016B7Z32', 'B00014DXCC', 'B007RLRCLK', 'B00020HHRW', 'B000M0F58U', 'B00020HHK4', 'B000VJYTZM', 'B00020HHHC', 'B000FVBYCW', 'B0014AUJII', 'B0006I5M2M', 'B00020HHM2', 'B00020HHGS', 'B00073IVAQ', 'B00020HHE0', 'B0014ATRV8', 'B0014B0HWK', 'B00412W76S', 'B001GCTTRQ', 'B00020HHAO', 'B00188S3PM'}
AMAAPF2CJN5TK	  {'B004FGWU9O', 'B003VXFK44', 'B003VXHGPK', 'B005HGAV8I', 'B006N3IE6A', 'B00370CFR6', 'B003VXHGDM', 'B002E0S4UW', 'B007OXJJQ2', 'B004779XSM', 'B007OXJL0G', 'B007OXJK3Y', 'B003TC7WN4', 'B003VXHGE6', 'B0033HPPIO', 'B006N3IG4K', 'B003VXL0V6'}
AMAECPWS18SGS	  {'B003NQMR3Q', 'B001I7OPJ6', 'B000EMK4VE', 'B003NQRTRA', 'B001I4H7JY', 'B003NQRC2C', 'B003NR476U', 'B001I63MPU', 'B0013AFJAW', 'B001W2LLX0'}
AMAFKXOMZMBEJ	  {'B000EHXWIQ', 'B002PB0RBO', 'B0017I3SNK', 'B000UUIYHQ'}
AMAM0LTSSX7SB	  {'B000EM8UJC', 'B000YPMK68', 'B004ZIEZMM', 'B001EQ4JEC', 'B002W08W56', 'B00434FSUG'}
AMASYZFTFBNN	  {'B0000CDBRM', 'B0062MZU3W', 'B0000CDBRN'}
AMATOIG271SMX	  {'B0026RQTGE', 'B002QWHJOU', 'B002QWP8H0', 'B002QWP89S'}
AMB2Z4FMDBWQY	  {'B0061IUIDY', 'B006Q7YG24', 'B0041CIP3M', 'B006Q7YG56', 'B004TPKAN4', 'B00823T1K2', 'B005NVU5BK', 'B006BXUYN8', 'B001CEJ86K', 'B004T3QMD8', 'B006Q7YG2O', 'B006Q7YFLQ', 'B0061IUKDM', 'B001E95KNS', 'B004R8J8E0', 'B004R8FKO2'}
AMBBWPX32ROS3	  {'B001LQNWJS', 'B006N3I5XW', 'B000IZ0OC6', 'B001EYUE2A'}
AMBCU664M46E	  {'B004FQYYFM', 'B003W1Z63A', 'B002DHNIBG'}
AMBGMZBIFQOSP	  {'B005K4Q34S', 'B005K4Q1YA', 'B005K4Q4LK', 'B005K4Q37A'}
AMBGS4Z455KAO	  {'B000EPMP40', 'B00250I61S', 'B000ETAJZ8', 'B000ETGBN2', 'B000ETAJZI', 'B001PQNV6S'}
AMBIFRHLCFVGS	  {'B000Z3IQ0S', 'B000Z3P9FS', 'B000Z3IQ3U', 'B000Z3MBRM', 'B001E5E3LW', 'B0018CK0EA'}
AMBJQQSRCAOHS	  {'B002MCHN8Q', 'B003MOX6RA', 'B001QXZ8ES', 'B001F23K86', 'B00275QB0Y'}
AMBLDL8NPVRRV	  {'B001396HQS', 'B000VK8HCW', 'B001PMC3QG', 'B000VK339Y', 'B001PMDYZA', 'B001PMC3PM', 'B000VK6TGI', 'B001397WYE', 'B000VKADQK', 'B000VK4K2S'}
AMBNTA6S3SD2S	  {'B000G80R6S', 'B001VA8MT4', 'B000G7WWW6', 'B000FVW4OY', 'B000EMK53G', 'B000EMK4CS', 'B000YVM5DA', 'B000EMW5N4', 'B001EQ4S52', 'B000G7YO2M'}
AMBVKNMQR7058	  {'B000X1L3C0', 'B000X1L3D4', 'B000X1F9XY'}
AMC2ZGYSSXCX5	  {'B004K051VE', 'B00474G7KW', 'B006R20KR8', 'B000NMHHD8'}
AMC708Y8VAWSO	  {'B005ASZ7E6', 'B0002HDM0Q', 'B001ONVOFC', 'B001YJ7Z0Y', 'B006HV79KA', 'B000E123IC', 'B001PNM44G', 'B005CUKCUQ', 'B007JINWW4'}
AMCG9RF088EF0	  {'B000HJRGQU', 'B002ANE43Y', 'B000ILIHA6'}
AMCHDVKKLXT5U	  {'B002QWHJOU', 'B000H25RQ8', 'B002QWP8H0', 'B002QWP89S', 'B0026RQTGE'}
AMCQRYW32NBXZ	  {'B000SV5DKS', 'B002ZJSSEE', 'B000F9Z1XM', 'B000F9XBIE', 'B000F9Z29U', 'B002ZJQQK2'}
AMCX84U402LW3	  {'B001EO5Q64', 'B001E5E35S', 'B000V17MLS', 'B001FA1KNK', 'B000H7LVKY', 'B001SJR4XS'}
AMCZX4QV9MI6R	  {'B0041CF8XC', 'B003XBBAUM', 'B000LKYQ5E'}
AMD15CPYP9JG0	  {'B00954NYVY', 'B001KTA03C', 'B007TJGZ18', 'B006N3I3I4', 'B00954NY46'}
AMD250GWTJYEV	  {'B002YJ0118', 'B000PDY3P0', 'B000PDWBKO', 'B000PDY3HI'}
AMD9AKHUKJ0WR	  {'B004CLCEDE', 'B00139YUVW', 'B001EVHWVE'}
AMDH9WZHBLCDB	  {'B00066N9EM', 'B000M3J9VQ', 'B001CWU9HE', 'B00125NFXQ', 'B000E4C2LW', 'B0000DG71V', 'B0028A9C72'}
AMDJHUDOJS6G3	  {'B000NVCK68', 'B000NVDZ0I', 'B000NVFDT4'}
AMDN7KZJVHKDG	  {'B000G7V3BM', 'B000G7VYTS', 'B000UYIPYY', 'B000G7VYRA', 'B000G7TBKM'}
AMDPYQR7QVOJQ	  {'B005K4Q4KG', 'B005MRUWLI', 'B0076MLL12', 'B005K4Q1T0', 'B005K4Q1VI', 'B005K4Q68Q'}
AMDREWLSOT8ID	  {'B0009VO58S', 'B00142BX68', 'B001NXHY8Y', 'B00073JVFU', 'B000FVDWU4', 'B0016B7Z32', 'B00014DXCC', 'B000FFIL92', 'B0025UC2DQ', 'B007RLRCLK', 'B00020HHRW', 'B000M0F58U', 'B00020HHK4', 'B00020HHHC', 'B000VJYTZM', 'B000FVBYCW', 'B001NXM3I0', 'B0014AUJII', 'B0006I5M2M', 'B001NXM3GM', 'B00020HHGS', 'B00020HHM2', 'B00073IVAQ', 'B00020HHE0', 'B0014ATRV8', 'B0014B0HWK', 'B001E5DZIY', 'B00412W76S', 'B001GCTTRQ', 'B00020HHAO', 'B00188S3PM'}
AMDX9KX6OG1QM	  {'B001I6304I', 'B0053PJVX4', 'B002LN4KEQ', 'B001I7IIZI'}
AMDXAP925L195	  {'B00014IVPQ', 'B000V17MLS', 'B001EQ4ICA', 'B001AG6BMO'}
AMDYSUIS3S50F	  {'B004SRH2B6', 'B004SRFYMK', 'B000CNB4LE', 'B003CIBPN8'}
AME5H3EQQ7E6A	  {'B001717TUK', 'B0017140VG', 'B001717TUA', 'B000E5U37G', 'B001717TT6'}
AMEMYZC3GEE1K	  {'B000LKU3DI', 'B000LKU3K6', 'B000LKVL16', 'B000LKXJEI', 'B0038B3AGO', 'B000LKU3A6', 'B000LKZD4W', 'B0015R9BQG'}
AMEXR2V8DEMVW	  {'B001CCXVQU', 'B004I5FD2S', 'B003FDBZCQ'}
AMEZJVXMSEPY0	  {'B001OCKIBY', 'B001LG945O', 'B004BKLHOS', 'B005BPVB9S', 'B004FEN3GK'}
AMF74IQHBZPE2	  {'B002JG5TVS', 'B000GZU9E6', 'B0046QUNGK'}
AMF8LYHLY7MS1	  {'B000EVG8HY', 'B000EVIDWW', 'B001CWSKFC', 'B001CWX7EG', 'B001CWV4RS', 'B000EVG8FQ'}
AMF910FPUEI7F	  {'B004QSV9IE', 'B00381AB98', 'B0032BXUJM', 'B0045IO37Y'}
AMFI0VQYS88LH	  {'B0015YHFU8', 'B0015YJD1C', 'B000HDMV3E'}
AMFMQ6P76F9WQ	  {'B001AJ1ULS', 'B00141OU50', 'B00141WDXG', 'B00141UC9I', 'B00141OX52'}
AMFMVWHYF2Q6T	  {'B006EPELQY', 'B002ULILSU', 'B002K91FJE', 'B002Z04ZNQ', 'B004LOILM0', 'B003DNL9U6', 'B004OW342G'}
AMFRE40Z6GF13	  {'B001EPPCFS', 'B000JSOC0C', 'B001EPPC80'}
AMFUEP4B91OE1	  {'B001E5E21S', 'B00282YCMA', 'B000G0EP78', 'B004C62D26', 'B001EO63SE', 'B001EO6B90', 'B000F3XZFO', 'B0021I5AKE'}
AMFUGC4UT97DV	  {'B000HDJZWO', 'B001ONVOAM', 'B0017O6KSE'}
AMFVLGQSV1X3R	  {'B004779XNW', 'B000W5SLHW', 'B007PA30ZU', 'B000W5SLEU', 'B003M9ZLEG', 'B001EO5Y8Y', 'B001M2BM4I', 'B0032CB15Q', 'B00474CSVE', 'B002YFZ7IY', 'B0049ULB78', 'B0030CCOZY'}
AMFYF3C08JMWD	  {'B0013LVMKW', 'B000HTDFCE', 'B000HTJH58', 'B0013M07PW'}
AMFYR0T3ZCY8S	  {'B002TM37TS', 'B002TMBYU2', 'B002TM37RU'}
AMG05J2XGM2LW	  {'B0060HVNNA', 'B000CMFKNS', 'B0060HW38O'}
AMG0MU63Y2KUC	  {'7310172101', 'B0002DGRSY', 'B0002DGRZC', 'B0002DGRPC', 'B001B4VOQI', 'B000255OIG', '7310172001', 'B0002DGRQ6', 'B0002DGRRA'}
AMGIE7NS5AHUW	  {'B004ZN81NQ', 'B004WTHCO2', 'B001LQCOIS'}
AMGJEG8WN3FDO	  {'B001E5E2RM', 'B001E5DYEE', 'B000I6PZSS', 'B000I6MEDW'}
AMHAHG51LWCGE	  {'B000ETXODC', 'B001FA1AWG', 'B0055Q7VM4', 'B000ETXOD2'}
AMHGCCNZPJ27W	  {'B0002NYO20', 'B0002NYO1Q', 'B0002NYO2K', 'B0002NYO1G'}
AMHGJFEG2UIN	  {'B000FAKV04', 'B0000ZSH96', 'B001LQO5RQ', 'B00169MJPS', 'B0002LY6W0', 'B000YV9PYC', 'B004R0NN1C', 'B001LO1BF2'}
AMHMR0GHR7RDH	  {'B001FA1KNK', 'B000E63LDS', 'B000E65OII'}
AMHTXKDIKOCAN	  {'B004M4DM2I', 'B004HYZYB0', 'B003QSMCWC', 'B005CSKT8S', 'B000EVG8H4', 'B004G6NZT2', 'B004M4H3M8'}
AMHUE4A12KNUZ	  {'B00027CE28', 'B000X5YM7O', 'B001P1YWWK', 'B001EPPLZO', 'B001COJ860'}
AMHX73LHJJJGL	  {'B003N0ZEKU', 'B002HQLY7S', 'B007TJGZ0Y'}
AMI69YOH12HHD	  {'B001942GAI', 'B001ULOTKU', 'B0016J3L9Q', 'B001ULH7P4', 'B0036B8B0Q', 'B000CONM8Q'}
AMI9P4Y5TNH2T	  {'B001EO653M', 'B001ABOB8K', 'B001ABUYIQ', 'B001EO651Y'}
AMID38GXYQFDI	  {'B00017XCW0', 'B00017WSHU', 'B00017WSPM'}
AMIDKH0DV8RJO	  {'B0030VJ70K', 'B0030VJ79Q', 'B0030VBQ5Y', 'B0030VBPN2', 'B001ANZXW6'}
AMIEGELIQ124U	  {'B001CU0N9K', 'B001CU0N7C', 'B005EHHRJG', 'B001CU0N4A', 'B001CTYT6E'}
AMIEW1HE7MCPP	  {'B003E728CE', 'B008GRONV6', 'B001BS4G6O', 'B000QSON4K'}
AMIGKRWXLA5FZ	  {'B000ER3EAM', 'B000ER5D9W', 'B001O2HBIM', 'B001BM6NIY'}
AMIGPDWE1A7N3	  {'B003D4F1QS', 'B003D4MYLS', 'B003D4IYSU', 'B003D4MW38'}
